Количество найденных записей: 99092; Количество документов: 100; Время: 00:00:02.412
Количество найденных записей: 98992; Количество документов: 500; Время: 00:00:02.438
Количество найденных записей: 98492; Количество документов: 1000; Время: 00:00:02.904
Количество найденных записей: 97492; Количество документов: 1500; Время: 00:00:03.506
Количество найденных записей: 95992; Количество документов: 2000; Время: 00:00:04.231
Количество найденных записей: 93992; Количество документов: 3000; Время: 00:00:05.038
Количество найденных записей: 90992; Количество документов: 4000; Время: 00:00:06.754
Количество найденных записей: 86992; Количество документов: 5000; Время: 00:00:07.603
Количество найденных записей: 81992; Количество документов: 10000; Время: 00:00:14.553
Количество найденных записей: 71992; Количество документов: 15000; Время: 00:00:24.339
Количество найденных записей: 56992; Количество документов: 20000; Время: 00:00:34.064
Количество найденных записей: 36992; Количество документов: 25000; Время: 00:00:45.123
Количество найденных записей: 115980; Количество документов: 25000; Время: 00:00:47.586
Количество найденных записей: 90980; Количество документов: 15000; Время: 00:00:24.316
Количество найденных записей: 99; Количество документов: 50; Время: 00:00:00.029
Количество найденных записей: 49; Количество документов: 40; Время: 00:00:00.023
